file algorithm pattern num_shifts num_comparisons prep_cost
1368.htm naive understand 717 717 0
683.htm naive share 1356 1356 0
1931.htm naive lim 4126 4126 0
1474.htm naive that 6875 6875 0
689.htm naive cut 4785 4785 0
885.htm naive slick 3292 3292 0
536.htm naive april 5241 5241 0
436.htm naive louisiana 2894 2894 0
1632.htm naive spill 5725 5725 0
1714.htm naive just 5446 5446 0
872.htm naive oil 5714 5714 0
29.htm naive anc 4989 4989 0
794.htm naive statement 1723 1723 0
761.htm naive around 6462 6462 0
1549.htm naive area 6505 6505 0
797.htm finite_automata government 3737 3737 554
499.htm finite_automata cap 3429 3429 33
527.htm finite_automata shrimp 6094 6094 174
1671.htm finite_automata dec 81003 81003 33
1678.htm finite_automata comm 3065 3065 51
1368.htm finite_automata understand 704 704 554
683.htm finite_automata share 1289 1289 110
1931.htm finite_automata lim 3983 3983 33
1474.htm finite_automata that 6252 6252 51
689.htm finite_automata cut 4663 4663 33
885.htm finite_automata slick 3102 3102 110
536.htm finite_automata april 4961 4961 110
436.htm finite_automata louisiana 2728 2728 408
1632.htm finite_automata spill 5393 5393 92
1714.htm finite_automata just 5430 5430 64
872.htm finite_automata oil 5389 5389 33
29.htm finite_automata anc 4648 4648 33
794.htm finite_automata statement 1620 1620 357
761.htm finite_automata around 6049 6049 174
1549.htm finite_automata area 6030 6030 51
797.htm KMP government 3737 3785 10
499.htm KMP cap 3429 3499 3
527.htm KMP shrimp 6094 6442 6
1671.htm KMP dec 81003 83109 3
1678.htm KMP comm 3065 3133 4
1368.htm KMP understand 704 715 10
683.htm KMP share 1289 1353 5
1931.htm KMP lim 3983 4111 3
1474.htm KMP that 6252 6690 4
689.htm KMP cut 4663 4774 3
885.htm KMP slick 3102 3272 5
536.htm KMP april 4961 5232 5
436.htm KMP louisiana 2728 2848 9
1632.htm KMP spill 5393 5673 5
1714.htm KMP just 5430 5431 4
872.htm KMP oil 5389 5688 3
29.htm KMP anc 4648 4945 3
794.htm KMP statement 1620 1711 9
761.htm KMP around 6049 6431 6
1549.htm KMP area 6030 6442 4
